Project Reference,Academic Year,Mobility Start Month,Mobility End Month,Mobility Duration,Activity (mob),Field of Education,Participant Nationality,Education Level,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending Country Code,Sending City,Sending Organization,Sending Organisation Erasmus Code,Receiving Country Code,Receiving City,Receiving Organization,Receiving Organisation Erasmus Code,Participants
2014-1-IE02-KA103-000092,2014-2015,2014-09,2015-02,135.0,Student mobility for studies between Programme Countries,Psychology,IE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,21,IE,LIMERICK,UNIVERSITY OF LIMERICK,IRLLIMERIC01,PL,WARSAWA,UNIWERSYTET WARSZAWSKI,PL WARSZAW01,1.0
2016-2-PL01-KA105-027140,2016-2017,2016-10,2016-10,8.0,Youth Exchanges - Programme Countries,? Unknown ?,LT,??? - ? Unknown ?,Female,Learner,No,No,No,21,LT,Kauno r.,Inceptus,-,PL,Poronin,"Fundacja Rozwoju Regionalnego ""Olszynka""",-,1.0
2014-2-FR02-KA105-000754,2014-2015,2014-11,2014-12,6.0,Mobility of youth workers - Programme Countries,? Unknown ?,MK,??? - ? Unknown ?,Female,Staff,No,No,No,23,MK,Skopje,Zdruzenie na gragjani Volonterski Centar Skopje-Skopje,-,FR,FORT DU PLASNE,CEMEA FRANCHE COMTE,-,1.0
2017-1-PT01-KA103-035361,2017-2018,2017-10,2018-07,299.0,Student mobility for traineeships between Programme Countries,Law,BR,ISCED-8 - Third cycle / Doctoral or equivalent level (EQF-8),Female,Learner,No,No,No,44,PT,COIMBRA,UNIVERSIDADE DE COIMBRA,P  COIMBRA01,FR,TOURS,UNIVERSITE FRANCOIS RABELAIS DE TOURS,F  TOURS01,1.0
2016-1-HR01-KA103-021709,2017-2018,2017-01,2017-06,122.0,Student mobility for studies between Programme Countries,Psychology,HR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,24,HR,Zagreb,SVEUCILISTE U ZAGREBU,HR ZAGREB01,IT,Roma,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,I  ROMA01,1.0
2017-1-SE01-KA103-034223,2017-2018,2017-09,2018-01,137.0,Student mobility for studies between Programme Countries,Earth sciences,SE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,26,SE,GOETEBORG,GOETEBORGS UNIVERSITET,S  GOTEBOR01,IE,DUBLIN,"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",IRLDUBLIN02,1.0
2014-1-IT02-KA101-002122,2014-2015,2014-11,2014-11,5.0,Staff training abroad,Literature and linguistics,IT,??? - ? Unknown ?,Male,Staff,No,No,No,51,IT,Fara in Sabina (Ri),IIS STATISTA ALDO MORO,-,UK,ABERGELE,CONLAN SCHOOL,-,1.0
2015-1-ES01-KA103-013826,2015-2016,2015-09,2016-07,284.0,Student mobility for studies between Programme Countries,"Travel, tourism and leisure",ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,20,ES,VALENCIA,UNIVERSITAT DE VALENCIA,E  VALENCI01,HR,SPLIT,SVEUCILISTE U SPLITU (UNIVERSITY OF SPLIT),HR SPLIT01,1.0
2015-3-SE02-KA105-001308,2016-2017,2016-04,2016-04,7.0,Mobility of youth workers - Programme Countries,? Unknown ?,SE,??? - ? Unknown ?,Male,Staff,No,Yes,No,17,SE,VASTRA FROLUNDA,INTERNATIONAL WORLD YOUTH ORGANISATION,-,IT,CATANIA,CENTRO DI SERVIZIO PER IL VOLONTARIATO ETNEO,-,1.0
2018-1-CY02-KA105-001217,2018-2019,2018-07,2018-08,8.0,Youth Exchanges - Partner Countries,? Unknown ?,UA,??? - ? Unknown ?,Female,Learner,No,Yes,No,28,UA,Poltava,CHARITABLE ORGANIZATION VZAEMOPOMICH,-,CY,Agros,Filodasikos Syndesmos Agrou,-,1.0
2017-2-EL02-KA105-003181,2018-2019,2018-03,2018-03,10.0,Youth Exchanges - Programme Countries,? Unknown ?,LT,??? - ? Unknown ?,Female,Learner,No,No,Yes,32,LT,Kaunas,Tarptautinis bendradarbiavimo centras,-,EL,Nea Kallikrateia,BUSINESS MENTALITY ASTIKI MI KERDOSKOPIKI ETAIREIA,-,1.0
2018-1-SE01-KA103-038768,2019-2020,2019-05,2019-05,3.0,Staff mobility for training between Programme Countries,? Unknown ?,SE,??? - ? Unknown ?,Female,Staff,No,No,No,-,SE,FALUN,HOGSKOLAN DALARNA,S  FALUN01,AT,EISENSTADT,Career EU Conference Secretariat,-,1.0
2018-1-ES01-KA103-048372,2019-2020,2019-04,2019-04,2.0,Staff mobility for training between Programme Countries,? Unknown ?,ES,??? - ? Unknown ?,Male,Staff,No,No,No,-,ES,Sevilla,Escuela de Arte de Sevilla,E  SEVILLA10,FR,PARIS,ECOLE NATIONALE SUPERIEURE DES ARTS APPLIQUES ET DES METIERS D'ART OLIVIER DE SERRES,F  PARIS323,1.0
2015-1-UK01-KA103-012765,2015-2016,2015-12,2016-08,270.0,Student mobility for traineeships between Programme Countries,"Fashion, interior and industrial design",UK,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,20,UK,Huddersfield,THE UNIVERSITY OF HUDDERSFIELD,UK HUDDERS01,ES,Barcelona,Haiku Media,-,1.0
2016-1-UK01-KA102-023674,2017-2018,2017-06,2017-06,15.0,VET learners traineeships in companies abroad,"Hotel, restaurants and catering",EE,ISCED-4 - Post-secondary non-tertiary education,Female,Learner,No,No,No,32,UK,Motherwell,New College Lanarkshire,UK CUMBERN02,ES,VALLADOLID,VALLADOLID RUGBY ASOCIACION CLUB,-,1.0
2017-1-HR01-KA103-034943,2018-2019,2018-03,2018-07,118.0,Student mobility for studies between Programme Countries,Sociology and cultural studies,HR,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,HR,PULA,SVEUCILISTE JURJA DOBRILE U PULI,HR PULA01,IT,CATANIA,UNIVERSITA DEGLI STUDI DI CATANIA,I  CATANIA01,1.0
2014-1-IT02-KA103-000035,2015-2016,2015-01,2015-06,164.0,Student mobility for studies between Programme Countries,Information and Communication Technologies (ICTs),IT,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Learner,No,No,No,23,IT,Roma,UNIVERSITA DEGLI STUDI ROMA TRE,I  ROMA16,NO,BERGEN,UNIVERSITETET I BERGEN,N  BERGEN01,1.0
2016-1-DE02-KA104-002701,2017-2018,2017-09,2017-09,7.0,Structured Courses/Training Events,"Education, not further defined",DE,??? - ? Unknown ?,Male,Staff,No,No,No,51,DE,SCHROBENHAUSEN,VOLKSHOCHSCHULE SCHROBENHAUSEN EV,-,ES,Santomera,IES POETA JULIAN ANDUGAR,E  MURCIA09,1.0
2018-1-DK01-KA105-047015,2019-2020,2019-01,2019-01,2.0,Mobility of youth workers - Programme Countries,? Unknown ?,LT,??? - ? Unknown ?,Female,Staff,No,No,No,26,MK,SKOPJE,ASSOCIATION FOR VOLUNTEERISM VOLONTERSKI CENTAR SKOPJE,-,TR,ANTALYA,LYKIA IZCILIK VE DOGA SPORLARI KULUBU DERNEGI,-,1.0
2015-1-DE01-KA103-001938,2015-2016,2015-08,2016-02,165.0,Student mobility for studies between Programme Countries,Literature and linguistics,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,22,DE,Mainz,JOHANNES GUTENBERG-UNIVERSITAT MAINZ,D  MAINZ01,ES,Vigo,UNIVERSIDAD DE VIGO,E  VIGO01,1.0
2018-1-ES01-KA103-047036,2018-2019,2018-11,2019-03,138.0,Student mobility for traineeships between Programme Countries,Teacher training without subject specialization,ES,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,26,ES,SALAMANCA,UNIVERSIDAD PONTIFICIA DE SALAMANCA,E  SALAMAN01,UK,BRISTOL,HANNAH MORE PRIMARY SCHOOL,-,1.0
2017-1-LV01-KA103-035310,2018-2019,2018-04,2018-04,5.0,Staff mobility for training between Programme Countries,? Unknown ?,LV,??? - ? Unknown ?,Female,Staff,No,No,No,-,LV,RIGA,RIGAS TEHNISKA UNIVERSITATE,LV RIGA02,PL,GDANSK,POLITECHNIKA GDANSKA,PL GDANSK02,2.0
2014-1-DE04-KA105-000284,2015-2016,2015-06,2015-07,13.0,Youth Exchanges - Partner Countries,? Unknown ?,DE,??? - ? Unknown ?,Male,Learner,No,No,Yes,16,DE,Heidelberg,WERKstattSCHULE e.V.,-,DE,Heidelberg,WERKstattSCHULE e.V.,-,1.0
2015-1-DK01-KA105-004073,2015-2016,2015-08,2015-08,6.0,Youth Exchanges - Programme Countries,? Unknown ?,ET,??? - ? Unknown ?,Male,Learner,No,No,No,19,EE,Saaremaa,Saga Estonia,-,DK,R�nde,DGI Østjylland,-,1.0
2018-1-TR01-KA102-056810,2019-2020,2019-03,2019-03,12.0,Mobility of VET learners (2 weeks up to 3 months),Electronics and automation,TR,ISCED-3 - Upper secondary education,Male,Learner,No,No,No,16,TR,BEYŞEHİR,Beysehir Mesleki Egitim merkezi,-,CZ,Praha,"Vyssi odborna skola a Stredni prumyslova skola elektrotechnicka Frantiska Krizika, Praha 1, Na Prikope 16",-,3.0
2014-1-DE01-KA103-000246,2014-2015,2014-09,2015-01,139.0,Student mobility for studies between Programme Countries,Languages,DE,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,23,DE,Passau,UNIVERSITAT PASSAU,D  PASSAU01,ES,Granada,UNIVERSIDAD DE GRANADA,E  GRANADA01,1.0
2016-1-DE01-KA103-002376,2017-2018,2017-07,2017-07,5.0,Staff mobility for training between Programme Countries,? Unknown ?,DE,??? - ? Unknown ?,Female,Staff,No,No,No,-,DE,ERLANGEN,FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN NUERNBERG,D  ERLANGE01,IE,LIMERICK,UNIVERSITY OF LIMERICK,IRLLIMERIC01,1.0
2014-1-PT01-KA103-000655,2014-2015,2014-09,2015-01,137.0,Student mobility for studies between Programme Countries,Architecture and construction,PT,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Learner,No,No,No,26,PT,COVILHA,UNIVERSIDADE DA BEIRA INTERIOR,P  COVILHA01,SK,BRATISLAVA,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,SK BRATISL01,1.0
2015-1-RO01-KA103-014386,2015-2016,2015-09,2016-01,137.0,Student mobility for studies between Programme Countries,Veterinary,RO,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Learner,No,No,No,31,RO,CLUJ NAPOCA,UNIVERSITATEA DE STIINTE AGRICOLE SI MEDICINA VETERINARA CLUJ NAPOCA,RO CLUJNAP04,FR,MARCY L ETOILE,INSTITUT D ENSEIGNEMENT SUPERIEUR ET DE RECHERCHE EN ALIMENTATION SANTE ANIMALE SCIENCES AGRONOMIQUES ETDE L ENVIRONNEMENT VETAGRO SUP,F  LYON104,1.0
2016-2-MT01-KA105-015259,2016-2017,2016-11,2016-11,4.0,Mobility of youth workers - Programme Countries,? Unknown ?,PL,??? - ? Unknown ?,Male,Staff,No,No,No,24,PL,Mikolow,Powiat Mikolowski,-,MT,Bugibba,SOUTH EUROPE YOUTH FORUM MALTA,-,1.0
2014-1-TR01-KA102-005925,2015-2016,2015-04,2015-04,14.0,Staff training abroad,Health,TR,??? - ? Unknown ?,Male,Staff,No,No,No,35,TR,Fındıklı,Findikli Ibni Sina Mesleki Ve Teknik Anadolu Lisesi,-,PT,BARCELOS,CIMB,-,1.0
